timestamp,value
2026-04-29 20:10:01+00,0
2026-04-29 20:10:06+00,0
2026-04-29 20:10:11+00,0
2026-04-29 20:10:16+00,0
2026-04-29 20:10:21+00,0
2026-04-29 20:10:26+00,0
2026-04-29 20:10:31+00,0
2026-04-29 20:10:36+00,0
2026-04-29 20:10:41+00,0
2026-04-29 20:10:46+00,0
2026-04-29 20:10:51+00,0
2026-04-29 20:10:56+00,0
2026-04-29 20:11:01+00,0
2026-04-29 20:11:06+00,0
2026-04-29 20:11:11+00,0
2026-04-29 20:11:16+00,0
2026-04-29 20:11:21+00,0
2026-04-29 20:11:26+00,0
2026-04-29 20:11:31+00,0
2026-04-29 20:11:36+00,0
2026-04-29 20:11:41+00,0
2026-04-29 20:11:46+00,0
2026-04-29 20:11:51+00,0
2026-04-29 20:11:56+00,0
2026-04-29 20:12:01+00,0
2026-04-29 20:12:06+00,0
2026-04-29 20:12:11+00,0
2026-04-29 20:12:16+00,0
2026-04-29 20:12:21+00,0
2026-04-29 20:12:26+00,0
2026-04-29 20:12:31+00,0
2026-04-29 20:12:36+00,0
2026-04-29 20:12:41+00,0
2026-04-29 20:12:46+00,0
2026-04-29 20:12:51+00,0
2026-04-29 20:12:56+00,0
2026-04-29 20:13:01+00,0
2026-04-29 20:13:06+00,0
2026-04-29 20:13:11+00,0
2026-04-29 20:13:16+00,0
2026-04-29 20:13:21+00,0
2026-04-29 20:13:26+00,0
2026-04-29 20:13:32+00,0
2026-04-29 20:13:36+00,0
2026-04-29 20:13:41+00,0
2026-04-29 20:13:46+00,0
2026-04-29 20:13:51+00,0
2026-04-29 20:13:56+00,0
2026-04-29 20:14:01+00,0
2026-04-29 20:14:06+00,0
2026-04-29 20:14:11+00,0
2026-04-29 20:14:16+00,0
2026-04-29 20:14:21+00,0
2026-04-29 20:14:27+00,0
2026-04-29 20:14:31+00,0
2026-04-29 20:14:36+00,0
2026-04-29 20:14:41+00,0
2026-04-29 20:14:46+00,0
2026-04-29 20:14:51+00,0
2026-04-29 20:14:56+00,0
2026-04-29 20:15:01+00,0
2026-04-29 20:15:06+00,0
2026-04-29 20:15:11+00,0
2026-04-29 20:15:16+00,0
2026-04-29 20:15:21+00,0
2026-04-29 20:15:26+00,0
2026-04-29 20:15:31+00,0
2026-04-29 20:15:36+00,0
2026-04-29 20:15:41+00,0
2026-04-29 20:15:46+00,0
2026-04-29 20:15:51+00,0
2026-04-29 20:15:56+00,0
2026-04-29 20:16:01+00,0
2026-04-29 20:16:06+00,0
2026-04-29 20:16:11+00,0
2026-04-29 20:16:16+00,0
2026-04-29 20:16:21+00,0
2026-04-29 20:16:26+00,0
2026-04-29 20:16:31+00,0
2026-04-29 20:16:36+00,0
2026-04-29 20:16:41+00,0
2026-04-29 20:16:46+00,0
2026-04-29 20:16:51+00,0
2026-04-29 20:16:56+00,0
2026-04-29 20:17:01+00,0
2026-04-29 20:17:06+00,0
2026-04-29 20:17:11+00,0
2026-04-29 20:17:16+00,0
2026-04-29 20:17:21+00,0
2026-04-29 20:17:26+00,0
2026-04-29 20:17:31+00,0
2026-04-29 20:17:36+00,0
2026-04-29 20:17:41+00,0
2026-04-29 20:17:46+00,0
2026-04-29 20:17:52+00,0
2026-04-29 20:17:56+00,0
2026-04-29 20:18:01+00,0
2026-04-29 20:18:06+00,0
2026-04-29 20:18:11+00,0
2026-04-29 20:18:16+00,0
2026-04-29 20:18:21+00,0
2026-04-29 20:18:26+00,0
2026-04-29 20:18:31+00,0
2026-04-29 20:18:36+00,0
2026-04-29 20:18:41+00,0
2026-04-29 20:18:46+00,0
2026-04-29 20:18:51+00,0
2026-04-29 20:18:56+00,0
2026-04-29 20:19:01+00,0
2026-04-29 20:19:06+00,0
2026-04-29 20:19:11+00,0
2026-04-29 20:19:16+00,0
