timestamp,phase,inbound_pps,cpu_system_pct,tcp_total,tcp_syn_recv,response_time_sec,ddos_threat_score
2026-04-29 20:11:55+00,baseline,,2.312023,,0,,0.15576900000000002
2026-04-29 20:11:56+00,baseline,,,,,,
2026-04-29 20:11:57+00,baseline,,,6,,,
2026-04-29 20:11:58+00,baseline,25,,,,,
2026-04-29 20:11:59+00,baseline,,,,,,
2026-04-29 20:12:00+00,baseline,,,,0,,
2026-04-29 20:12:01+00,baseline,,,,,0.129889,
2026-04-29 20:12:02+00,baseline,,,7,,,
2026-04-29 20:12:03+00,baseline,346,,,,,
2026-04-29 20:12:04+00,baseline,,,,,,
2026-04-29 20:12:05+00,baseline,,2.331606,,0,,0.4063614
2026-04-29 20:12:06+00,baseline,,,,,,
2026-04-29 20:12:07+00,baseline,,,6,,,
2026-04-29 20:12:08+00,baseline,299,,,,,
2026-04-29 20:12:09+00,baseline,,,,,,
2026-04-29 20:12:10+00,baseline,,,,0,,
2026-04-29 20:12:11+00,baseline,,,,,0.046326,
2026-04-29 20:12:12+00,baseline,,,7,,,
2026-04-29 20:12:13+00,baseline,17,,,,,
2026-04-29 20:12:14+00,baseline,,,,,,
2026-04-29 20:12:15+00,baseline,,2.4429,,0,,0.1593488
2026-04-29 20:12:16+00,baseline,,,,,,
2026-04-29 20:12:17+00,baseline,,,6,,,
2026-04-29 20:12:18+00,baseline,15,,,,,
2026-04-29 20:12:19+00,baseline,,,,,,
2026-04-29 20:12:20+00,baseline,,,,0,,
2026-04-29 20:12:21+00,baseline,,,,,0.009833,
2026-04-29 20:12:22+00,baseline,,,7,,,
2026-04-29 20:12:23+00,baseline,20,,,,,
2026-04-29 20:12:24+00,baseline,,,,,,
2026-04-29 20:12:25+00,baseline,,2.41632,,0,,0.15415020000000004
2026-04-29 20:12:26+00,baseline,,,,,,
2026-04-29 20:12:27+00,baseline,,,6,,,
2026-04-29 20:12:28+00,baseline,768,,,,,
2026-04-29 20:12:29+00,baseline,,,,,,
2026-04-29 20:12:30+00,baseline,,,,0,,
2026-04-29 20:12:31+00,baseline,,,,,,
2026-04-29 20:12:32+00,baseline,,,7,,,
2026-04-29 20:12:33+00,baseline,1203,,,,,
2026-04-29 20:12:34+00,baseline,,,,,,
2026-04-29 20:12:35+00,baseline,,2.476228,,0,,0.9822502
2026-04-29 20:12:36+00,baseline,,,,,,
2026-04-29 20:12:37+00,baseline,,,6,,,
2026-04-29 20:12:38+00,baseline,626,,,,,
2026-04-29 20:12:39+00,baseline,,,,,,
2026-04-29 20:12:40+00,baseline,,,,0,,
2026-04-29 20:12:41+00,baseline,,,,,,
2026-04-29 20:12:42+00,baseline,,,7,,,
2026-04-29 20:12:43+00,baseline,455,,,,,
2026-04-29 20:12:44+00,baseline,,,,,,
2026-04-29 20:12:45+00,baseline,,2.589322,,0,,0.4920975
2026-04-29 20:12:46+00,baseline,,,,,,
2026-04-29 20:12:47+00,baseline,,,6,,,
2026-04-29 20:12:48+00,baseline,498,,,,,
2026-04-29 20:12:49+00,baseline,,,,,,
2026-04-29 20:12:50+00,baseline,,,,0,,
2026-04-29 20:12:51+00,baseline,,,,,,
2026-04-29 20:12:52+00,baseline,,,7,,,
2026-04-29 20:12:53+00,baseline,347,,,,,
2026-04-29 20:12:54+00,baseline,,,,,,
2026-04-29 20:12:55+00,baseline,,2.620886,,0,,0.4164975
2026-04-29 20:12:56+00,baseline,,,,,,
2026-04-29 20:12:57+00,baseline,,,6,,,
2026-04-29 20:12:58+00,baseline,421,,,,,
2026-04-29 20:12:59+00,baseline,,,,,,
2026-04-29 20:13:00+00,baseline,,,,0,,
2026-04-29 20:13:01+00,baseline,,,,,,
2026-04-29 20:13:02+00,baseline,,,7,,,
2026-04-29 20:13:03+00,baseline,339,,,,,
2026-04-29 20:13:04+00,baseline,,,,,,
2026-04-29 20:13:05+00,baseline,,2.639235,,0,,0.4108975
2026-04-29 20:13:06+00,baseline,,,,,,
2026-04-29 20:13:07+00,baseline,,,6,,,
2026-04-29 20:13:08+00,baseline,712,,,,,
2026-04-29 20:13:09+00,baseline,,,,,,
2026-04-29 20:13:10+00,baseline,,,,0,,
2026-04-29 20:13:11+00,baseline,,,,,,
2026-04-29 20:13:12+00,baseline,,,7,,,
2026-04-29 20:13:13+00,baseline,264,,,,,
2026-04-29 20:13:14+00,baseline,,,,,,
2026-04-29 20:13:15+00,baseline,,2.630471,,0,,0.3583975
2026-04-29 20:13:16+00,baseline,,,,,,
2026-04-29 20:13:17+00,baseline,,,6,,,
2026-04-29 20:13:18+00,baseline,381,,,,,
2026-04-29 20:13:19+00,baseline,,,,,,
2026-04-29 20:13:20+00,baseline,,,,0,,
2026-04-29 20:13:21+00,baseline,,,,,,
2026-04-29 20:13:22+00,baseline,,,7,,,
2026-04-29 20:13:23+00,baseline,247,,,,,
2026-04-29 20:13:24+00,baseline,,,,,,
2026-04-29 20:13:25+00,baseline,,2.770619,,0,,0.3464975
2026-04-29 20:13:26+00,baseline,,,,,,
2026-04-29 20:13:27+00,baseline,,,6,,,
2026-04-29 20:13:28+00,baseline,463,,,,,
2026-04-29 20:13:29+00,baseline,,,,,,
2026-04-29 20:13:30+00,baseline,,,,0,,
2026-04-29 20:13:31+00,baseline,,,,,,
2026-04-29 20:13:32+00,baseline,,,7,,,
2026-04-29 20:13:33+00,baseline,225,,,,,
2026-04-29 20:13:34+00,baseline,,,,,,
2026-04-29 20:13:35+00,baseline,,2.807399,,0,,0.3310975
2026-04-29 20:13:36+00,baseline,,,,,,
2026-04-29 20:13:37+00,baseline,,,7,,,
2026-04-29 20:13:38+00,baseline,539,,,,,
2026-04-29 20:13:39+00,baseline,,,,,,
2026-04-29 20:13:40+00,baseline,,,,0,,
2026-04-29 20:13:41+00,baseline,,,,,,
2026-04-29 20:13:42+00,baseline,,,8,,,
2026-04-29 20:13:43+00,baseline,362,,,,,
2026-04-29 20:13:44+00,baseline,,,,,,
2026-04-29 20:13:45+00,baseline,,2.787234,,0,,0.4958451
2026-04-29 20:13:46+00,baseline,,,,,,
2026-04-29 20:13:47+00,baseline,,,8,,,
2026-04-29 20:13:48+00,baseline,431,,,,,
2026-04-29 20:13:49+00,baseline,,,,,,
2026-04-29 20:13:50+00,baseline,,,,0,,
2026-04-29 20:13:51+00,baseline,,,,,,
2026-04-29 20:13:52+00,baseline,,,9,,,
2026-04-29 20:13:53+00,baseline,180,,,,,
2026-04-29 20:13:54+00,baseline,,,,,,
2026-04-29 20:13:55+00,baseline,,2.897933,,0,,0.3684451
2026-04-29 20:13:56+00,baseline,,,,,,
2026-04-29 20:13:57+00,baseline,,,9,,,
2026-04-29 20:13:58+00,baseline,378,,,,,
2026-04-29 20:13:59+00,baseline,,,,,,
2026-04-29 20:14:00+00,baseline,,,,0,,
2026-04-29 20:14:01+00,baseline,,,,,,
2026-04-29 20:14:02+00,baseline,,,10,,,
2026-04-29 20:14:03+00,baseline,206,,,,,
2026-04-29 20:14:04+00,baseline,,,,,,
2026-04-29 20:14:05+00,baseline,,3.084833,,0,,0.3866451
2026-04-29 20:14:06+00,baseline,,,,,,
2026-04-29 20:14:07+00,baseline,,,9,,,
2026-04-29 20:14:08+00,baseline,410,,,,,
2026-04-29 20:14:09+00,baseline,,,,,,
2026-04-29 20:14:10+00,baseline,,,,0,,
2026-04-29 20:14:11+00,baseline,,,,,,
2026-04-29 20:14:12+00,baseline,,,10,,,
2026-04-29 20:14:13+00,baseline,230,,,,,
2026-04-29 20:14:14+00,baseline,,,,,,
2026-04-29 20:14:15+00,baseline,,3.162393,,0,,0.4034451
2026-04-29 20:14:16+00,baseline,,,,,,
2026-04-29 20:14:17+00,baseline,,,10,,,
2026-04-29 20:14:18+00,baseline,305,,,,,
2026-04-29 20:14:19+00,baseline,,,,,,
2026-04-29 20:14:20+00,baseline,,,,0,,
2026-04-29 20:14:21+00,baseline,,,,,,
2026-04-29 20:14:22+00,baseline,,,10,,,
2026-04-29 20:14:23+00,baseline,215,,,,,
2026-04-29 20:14:24+00,baseline,,,,,,
2026-04-29 20:14:25+00,baseline,,3.120992,,0,,0.3929451
2026-04-29 20:14:27+00,baseline,,,10,,,
2026-04-29 20:14:28+00,baseline,353,,,,,
2026-04-29 20:14:29+00,baseline,,,,,,
2026-04-29 20:14:30+00,baseline,,,,0,,
